16 Personality Type Results,Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Purchase_Based_On_Sustainability,Meals_Delivery_Service_Percent,Ride_Share_Percent
INFP-T,electrical and computer engineering,,applied analytics,,No,2024,Senior,3.7,20,"Yes, from a 4 year college",No,Graduate School,Technology: Hardware,Engineering,4-Jan,Yes,No,No,No,No,No,4,0%,No,≤ 10%,30-40%,10-20%,Depends,> 50%,4,Female,21,US,91754,Yes,2,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
INFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.4,8,"Yes, from a 2 year college",No,Work,Technology: Software/Internet,Business/Corporate Services,0,No,No,No,Yes,No,No,3,0%,Yes,30-40%,10-20%,≤ 10%,Yes,10-20%,4,Female,21,US,91355,Yes,1,"Instagram, X, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,50%
ENFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.7,18,"Yes, from a 4 year college",Yes,Graduate School,Consulting,Business/Corporate Services,4-Jan,No,Yes,Yes,No,No,No,4,0%,No,≤ 10%,30-40%,10-20%,Yes,20-30%,5,Female,22,CN,N/A,No,2,"Instagram, Little Red Book",Yes,Yes,No,Yes,25%,25%
ENTP-A,Economics,,Applied Analytics,,No,2025,Junior,3.4,16,No,Yes,Work,Finance: Asset Management,Finance Management,0,Yes,No,No,Yes,No,No,5,0%,No,≤ 10%,> 50%,≤ 10%,Depends,10-20%,5,Male,21,TR,N/A,No,3,"Instagram, X, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,No,25%,50%
INTJ-T,Economics,,Applied Analytics,Mathematical Finance,No,2026,Sophmore,3.83,12,No,No,Work,Finance: FinTech,Business/Corporate Services,4-Jan,No,Yes,No,No,No,No,4,0%,Yes,20-30%,30-40%,10-20%,Yes,20-30%,4,Female,19,US,91331,Yes,2,"Instagram, X, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",No,No,Sometimes,Yes,25%,25%
ISFJ-T,Applied and Computational Mathematics,Data Science,N/A,,No,2025,Junior,3.4,16,"Yes, from a 4 year college",No,Work,Technology: Software/Internet,Engineering,4-Jan,No,No,No,No,No,Yes,3,50%,Yes,≤ 10%,20-30%,> 50%,Yes,30-40%,4,Male,20,US,90505,Yes,3,"X, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,0%
ENTP-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.55,14,"Yes, from a 4 year college",No,Work,Consulting,Travel/Tourism,4-Jan,No,Yes,Yes,Yes,Yes,No,4,0%,Yes,≤ 10%,30-40%,≤ 10%,Yes,20-30%,4,Male,20,US,95135,Yes,2,X,Yes,Yes,Yes,No,25%,25%
ENTP-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.9,16,No,Yes,Work,Consulting,Business/Corporate Services,0,No,No,No,No,No,No,4,0%,No,≤ 10%,10-20%,≤ 10%,Yes,≤ 10%,5,Male,21,IN,N/A,No,2,"Instagram, X, Youtube",Yes,No,No,Yes,50%,25%
INFJ-T,Business Administration,,Applied Analytics,,No,2025,Junior,3.93,14,No,No,Still Deciding,Technology: Other,Operations Management,4-Jan,No,No,Yes,Yes,No,No,3,0%,Yes,≤ 10%,20-30%,≤ 10%,Yes,> 50%,4,Male,21,US,N/A,No,2,"Instagram, Snapchat",Yes,Yes,Yes,Yes,25%,50%
ENFP-A,Business Administration,,Enterprise Resource Planning,,No,2024,Senior,3.2,12,No,No,Work,Technology: Other,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,Yes,≤ 10%,20-30%,≤ 10%,No,10-20%,5,Male,22,KR,91913,Yes,2,"Instagram, X, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,No,25%,25%
INFJ-T,Economics,Data Science,Applied Analytics,Risk Management,No,2025,Junior,3.83,20,No,No,Still Deciding,Finance: FinTech,Risk Management,0,No,No,Yes,Yes,No,No,4,0%,Yes,≤ 10%,20-30%,≤ 10%,Depends,> 50%,4,Male,21,CN,N/A,Yes,2,"Instagram, Tiktok, Youtube, Google News",Yes,Yes,Sometimes,Yes,75%,75%
INFP-A,Accounting,,Enterprise Information Systems,,No,2025,Junior,3.9,16,No,No,Work,Finance: Accounting,Business/Corporate Services,0,No,No,Yes,No,No,No,5,50%,Yes,≤ 10%,30-40%,10-20%,Yes,10-20%,5,Male,20,US,90275,Yes,1,"X, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,No,25%,25%
ESTJ-T,Business Administration ,,Applied Analytics,,Maybe,2024,Junior,3.91,16,No,No,Work,Finance: Asset Management,Finance Management,0,No,No,Yes,Yes,No,No,5,75%,Yes,30-40%,20-30%,≤ 10%,Depends,10-20%,5,Female,20,US,77407,No,2,"Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,25%
ENFJ-T,Economics,,Applied Analytics,,No,2024,Senior,3.4,18,No,Yes,Work,Finance: Asset Management,Property and Asset Management,4-Jan,Yes,No,Yes,Yes,Yes,No,5,25%,Yes,10-20%,30-40%,≤ 10%,Depends,20-30%,5,Female,21,PK,N/A,No,3,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,75%
ESTP-T,Neuroscience,,Applied Analytics,,No,2024,Senior,3.2,12,No,No,Work,Retail,Marketing,4-Jan,No,No,No,No,No,No,5,0%,Yes,> 50%,30-40%,10-20%,Yes,20-30%,5,Male,23,US,90720,Yes,2,"X, Tiktok",Yes,Yes,No,Yes,25%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2026,Sophmore,3.33,17,No,Yes,Work,Consulting,Client/Customer Services,8+,No,No,No,Yes,No,No,4,0%,No,≤ 10%,10-20%,≤ 10%,Yes,30-40%,5,Male,20,JP,N/A,Yes,2,Instagram,Yes,Yes,Yes,No,0%,25%
ENTJ-A,Economics and Data Science,East Asian Languages and Cultures,Applied Analytics,,No,2025,Junior,3.96,16,No,Yes,Still Deciding,Finance: Asset Management,Finance Management,0,No,No,Yes,Yes,No,No,5,0%,Yes,≤ 10%,30-40%,≤ 10%,Yes,20-30%,5,Male,22,CN,N/A,No,3,"Instagram, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,0%
ISTP-A,Business Administration,N/A,Applied Analytics,"Culture, Media, and Entertainment",No,2024,Senior,3.53,16,No,No,Still Deciding,Consulting,Business/Corporate Services,0,No,Yes,Yes,Yes,No,Yes,4,0%,Yes,10-20%,10-20%,20-30%,Yes,20-30%,4,Male,22,US,95129,Yes,2,"Instagram, Tiktok, TV, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,25%
ISTJ-A,Chemical Engineering,,Applied Analytics,,No,2025,Junior,3.65,18,No,No,Work,Energy,Engineering,8-May,Yes,No,Yes,No,No,No,3,75%,Yes,≤ 10%,10-20%,≤ 10%,Yes,10-20%,4,Female,21,US,77546,No,2,"X, Tiktok",Yes,Yes,Sometimes,Yes,0%,25%
INFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.2,12,"Yes, from a 4 year college",No,Work,Technology: Other,"Information Services, Statistics, Records, and Archives",8-May,Yes,No,No,No,No,Yes,5,0%,Yes,> 50%,20-30%,10-20%,Depends,20-30%,5,Male,22,US,91214,Yes,1,"Instagram, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,50%,25%
ENTP-T,Economics,,Applied Analytics,,No,2024,Senior,3.5,20,"Yes, from a 4 year college",Yes,Work,Finance: IB/Brokerage,Finance Management,0,Yes,Yes,Yes,Yes,No,Yes,3,0%,No,≤ 10%,> 50%,10-20%,Yes,10-20%,3,Male,22,ID,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,Yes,Sometimes,No,75%,0%
ENTJ-T,Economics,,Applied Analytics,Applications of Artificial Intelligence,No,2026,Sophmore,3.81,16,No,No,Work,Finance: FinTech,Business/Corporate Services,8-May,Yes,No,No,Yes,Yes,No,5,0%,No,≤ 10%,> 50%,10-20%,Yes,30-40%,5,Male,20,US,94303,Yes,2,"Instagram, X, TV, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,25%
ENTJ-A,Sociology,Data Science,Legal Studies,Applied Analytics,No,2026,Sophmore,3.84,20,No,Yes,Still Deciding,Law,Legal Personnel,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,Yes,20-30%,20-30%,≤ 10%,Yes,20-30%,4,Female,19,CN,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,Yes,No,Yes,0%,75%
ENFP-T,Business Administration,,Applied Analytics,International Relations,No,2024,Senior,3.493,16,No,No,Work,Finance: FinTech,Finance Management,8-May,Yes,No,Yes,No,Yes,No,5,0%,No,≤ 10%,> 50%,≤ 10%,Yes,10-20%,5,Male,21,US,6840,No,1,"Instagram, Tiktok, TV, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,50%
ISTP-A,Economics,,Applied Analytics,,No,2025,Junior,3.6,12,"Yes, from a 4 year college",Yes,Graduate School,Consulting,Other,0,No,No,No,Yes,No,No,5,0%,No,≤ 10%,20-30%,≤ 10%,No,≤ 10%,5,Male,21,CN,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,No,Yes,No,75%,0%
ISTJ-T,Business Administration,N/A,Applied Analytics,N/A,No,2024,Senior,3.7,18,No,No,Work,Finance: Asset Management,Finance Management,8-May,Yes,No,Yes,No,No,Yes,5,0%,No,≤ 10%,> 50%,≤ 10%,Yes,30-40%,5,Male,22,US,92129,Yes,1,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,25%,50%
ESTJ-A,Business Administration,,Applied Analytics,Blockchain,No,2025,Junior,3.93,18,No,Yes,Work,Consulting,Business/Corporate Services,4-Jan,Yes,No,Yes,Yes,No,No,5,0%,No,10-20%,30-40%,≤ 10%,Yes,> 50%,4,Male,20,TH,N/A,No,4,"Instagram, X, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,No,50%,75%
ENFJ-A,Business Administration ,,Applied Analytics,,No,2024,Senior,3.3,12,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,5,50%,Yes,30-40%,20-30%,10-20%,Depends,20-30%,5,Male,21,US,90280,Yes,2,"X, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,25%
ENFJ-T,International Relations (Global Business),,Foundations of Data Science,,Yes,2026,Junior,3.62,16,No,No,Work,Technology: Software/Internet,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,4,0%,Yes,10-20%,20-30%,≤ 10%,Depends,10-20%,4,Male,21,US,95070,Yes,3,Don't use social media,Yes,Yes,No,Yes,0%,25%
ENFP-A,Cognitive science,,"Data Science, Business",,No,2024,Senior,3.5,20,No,Yes,Work,Consulting,Business/Corporate Services,4-Jan,No,No,No,No,No,No,5,0%,No,≤ 10%,> 50%,10-20%,Depends,10-20%,5,Female,22,US,95129,Yes,1,"Instagram, Tiktok",Yes,Yes,Yes,Yes,25%,25%
ENFJ-A,Industrial and Systems Engineering,,Applied Analytics,,No,2024,Senior,3,18,No,No,Work,Technology: Software/Internet,Engineering,8+,No,No,No,No,No,No,4,25%,Yes,≤ 10%,> 50%,10-20%,Depends,10-20%,4,Female,22,US,90007,No,1,Tiktok,Yes,Yes,Sometimes,Yes,25%,0%
INFP-A,Business Adminsistration,,Applied Analytics,,No,2024,Senior,3.55,18,No,No,Work,Consulting,Administration/Office Work,8+,No,No,Yes,No,No,No,4,25%,Yes,20-30%,20-30%,10-20%,Depends,10-20%,5,Male,22,US,54915,No,2,"Instagram, Tiktok",Yes,Yes,Yes,Yes,50%,50%
ISFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.7,20,No,No,Work,Finance: Accounting,Business/Corporate Services,0,No,No,No,No,No,No,3,75%,Yes,30-40%,> 50%,20-30%,Yes,≤ 10%,3,Male,21,CN,N/A,Yes,2,"Instagram, X, Tiktok, Youtube",Yes,Yes,No,No,25%,50%
ENFJ-T,Environmetnal Science ,,applied analytics,,No,2024,Senior,3.8,20,No,No,Work,Energy,Environment/Conservation,0,Yes,Yes,Yes,No,No,No,5,50%,Yes,≤ 10%,20-30%,10-20%,No,10-20%,5,Female,21,US,92832,Yes,1,Instagram,Yes,Yes,Yes,Yes,0%,25%
INTP-A,Anthropology,,Applied Analytics,Environmental Studies,Maybe,2025,Junior,3.77,16,No,No,Graduate School,Other,Other,0,No,No,No,No,No,No,4,75%,Yes,10-20%,20-30%,> 50%,Yes,30-40%,4,Female,20,US,90036,Yes,2,News Sites (e.g. Wall Street Journal),Yes,Yes,Yes,Yes,0%,0%
ENTP-T,Business,,Applied Analytics,,No,2024,Senior,3.62,18,No,No,Work,Real Estate,Administration/Office Work,8-May,No,No,No,Yes,No,No,3,25%,Yes,10-20%,10-20%,10-20%,No,10-20%,3,Male,22,US,94920,Yes,1,TV,No,Yes,No,Yes,25%,50%
INFP-T,Communication,,Applied Analytics,,No,2024,Senior,3.91,20,"Yes, from a 2 year college",Yes,Work,Manufacturing,Marketing,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,10-20%,10-20%,Yes,20-30%,4,Female,25,KR,N/A,No,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,50%
INFJ-A,Mechanical Engineering,,Applied Analytics,,Maybe,2024,Senior,3.62,18,No,No,Still Deciding,Manufacturing,Engineering,4-Jan,Yes,No,No,No,No,No,4,0%,Yes,30-40%,20-30%,≤ 10%,Yes,20-30%,5,Female,21,US,92106,Yes,1,"Instagram, Youtube",Yes,Yes,Sometimes,Yes,50%,0%
INTP-T,Business Administration,,Applied Analytics,,No,Dec-24,Senior,3.87,12,No,Yes,Work,Finance: IB/Brokerage,Business/Corporate Services,0,No,No,No,Yes,No,No,3,0%,Yes,≤ 10%,> 50%,≤ 10%,Yes,30-40%,4,Male,21,VN,N/A,Yes,2,"Instagram, Youtube, Google News, News Sites (e.g. Wall Street Journal)",No,No,Yes,Yes,0%,0%
ESFJ-A,Business Administration,,Applied Analytics,,Maybe,2025,Junior,3.24,16,No,No,Still Deciding,Consulting,Business/Corporate Services,8+,Yes,No,No,Yes,No,Yes,5,0%,No,20-30%,> 50%,≤ 10%,Depends,10-20%,4,Male,21,US,46032,No,3,"Instagram, X, Tiktok, TV, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
ENFP-T,Biological Sciences ,Data Science,n/a,,No,2024,Freshman,3.9,14,"Yes, from a 2 year college",No,Work,Technology: Other,"Information Services, Statistics, Records, and Archives",4-Jan,No,No,No,No,No,No,3,50%,Yes,10-20%,20-30%,≤ 10%,Yes,20-30%,5,Male,24,US,N/A,No,4,Truth Social,No,No,No,No,0%,0%
ESFJ-T,Data Science,Psychology,N/A,,Maybe,2024,Senior,3.95,16,No,No,Still Deciding,Technology: Other,Operations Management,0,No,No,No,Yes,No,Yes,4,0%,Yes,10-20%,20-30%,10-20%,Yes,30-40%,4,Male,22,US,90049,Yes,2,"Instagram, X",Yes,No,Sometimes,Yes,0%,0%
ENTJ-A,Business Administration,,Applied analytics,,No,2025,Junior,3.3,16,No,No,Still Deciding,Finance: Asset Management,Finance Management,8-May,Yes,Yes,No,No,No,No,5,0%,Yes,20-30%,30-40%,≤ 10%,Depends,> 50%,5,Male,20,US,91001,Yes,1,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,25%
ENFP-T,psychology,,applied analytics,,No,2024,Senior,3.7,16,"Yes, from a 4 year college",No,Still Deciding,Finance: FinTech,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,4,25%,Yes,10-20%,30-40%,10-20%,No,20-30%,4,Female,23,US,90703,Yes,2,"Instagram, Tiktok",Yes,Yes,No,No,25%,25%
INFJ-A,Applied and Computational Mathematics,N/A,Foundations in Data Science,N/A,No,2024,Senior,3.52,12,No,No,Work,Technology: Software/Internet,Business/Corporate Services,8-May,No,No,Yes,No,No,Yes,5,0%,Yes,20-30%,10-20%,10-20%,Depends,20-30%,5,Male,21,US,97520,No,1,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,0%
INFP-T,Philosophy Politics and Economics,,Applied Analytics,,No,2024,Senior,3.7,16,"Yes, from a 4 year college",Yes,Graduate School,Technology: Software/Internet,Business/Corporate Services,4-Jan,No,No,No,Yes,No,No,5,25%,Yes,10-20%,30-40%,≤ 10%,Yes,20-30%,5,Male,21,CN,N/A,No,2,Instagram,Yes,Yes,No,No,50%,25%
ESFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.9,16,No,No,Work,Consulting,Business/Corporate Services,8+,Yes,No,No,No,No,No,5,0%,Yes,≤ 10%,> 50%,≤ 10%,No,20-30%,5,Female,21,US,60605,No,1,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,No,50%,50%
ENTP-T,Business Administration,,Applied Analytics,,No,2024,Senior,4,18,No,No,Work,Consulting,Business/Corporate Services,8-May,Yes,No,Yes,No,No,Yes,5,0%,No,≤ 10%,30-40%,≤ 10%,Depends,10-20%,5,Male,22,US,7945,No,1,"Instagram, News Sites (e.g. Wall Street Journal), Email (Morning Brew)",Yes,No,Yes,Yes,0%,25%
INFJ-T,Public Policy,,Applied Analytics,,No,2024,Senior,3.92,12,No,No,Work,Law,"Planning, Policy, and Strategy",8-May,No,Yes,Yes,Yes,No,No,4,50%,Yes,> 50%,20-30%,10-20%,Yes,30-40%,4,Female,22,US,10468,No,2,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,25%,25%
ESTP-A,Economics,Applied Economics and Econometrics,Foundations of Data Science,,Yes,2025,Junior,3.83,16,No,No,Work,Other,Other,8-May,Yes,No,No,No,No,Yes,4,0%,No,≤ 10%,30-40%,≤ 10%,Depends,20-30%,5,Male,20,uS,90266,Yes,2,none,No,No,No,Yes,0%,25%
ENTJ-A,Business Administration,,Applied Analytics,,Maybe,2024,Junior,3.62,16,No,Yes,Still Deciding,Consulting,Business/Corporate Services,Used to go to 5+ games until junior year,No,No,Yes,Yes,No,Yes,4,0%,No,≤ 10%,30-40%,≤ 10%,Yes,10-20%,4,Male,23,KR,N/A,No,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,75%
INFJ-A,Psychology,,Applied Analytics,,No,2024,Senior,3.1,16,No,No,Work,Human Resources,Administration/Office Work,0,Yes,No,Yes,Yes,No,No,4,100%,Yes,30-40%,20-30%,10-20%,Depends,30-40%,4,Female,22,US,90037,Yes,2,"Instagram, X, Tiktok",Yes,Yes,Yes,Yes,0%,0%
INFJ-T,Econ/Math,,Data Science,,No,2024,Senior,3.85,16,No,Yes,Graduate School,Other,Administration/Office Work,0,No,No,No,No,No,No,3,0%,No,> 50%,10-20%,≤ 10%,Depends,> 50%,5,Male,23,CN,N/A,Yes,3,"X, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,No,Yes,25%,0%
ENTP-A,Business Administration,N/A,Applied Analytics,,Yes,2024,Senior,3.95,17,No,Yes,Work,Finance: IB/Brokerage,Other,0,No,No,No,Yes,No,No,5,25%,No,≤ 10%,20-30%,≤ 10%,Depends,20-30%,5,Male,23,CN,N/A,Yes,2,"Instagram, X, Youtube",Yes,Yes,No,Yes,25%,0%
INFJ-A,ecma,,apan,,Maybe,2024,Senior,3.5,12,"Yes, from a 2 year college",Yes,Graduate School,Finance: Asset Management,Finance Management,0,No,No,No,No,No,No,5,0%,No,≤ 10%,≤ 10%,≤ 10%,Yes,≤ 10%,5,Female,22,cn,na,Yes,2,Instagram,Yes,Yes,No,Yes,100%,0%
ISFJ-A,Data Scienc,Economics,NA,,No,2025,Senior,3.6,20,"Yes, from a 4 year college",Yes,Graduate School,Technology: Software/Internet,Other,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,> 50%,≤ 10%,Yes,≤ 10%,5,Female,22,CN,N/A,No,2,"Instagram, Tiktok",Yes,Yes,Yes,No,100%,0%
ESFP-T,Business Administration,,Applied Analytics ,Designing for Multimedia Experiences,No,2024,Senior,3.5,18,No,Yes,Work,Technology: Other,Business/Corporate Services,4-Jan,No,Yes,Yes,No,No,No,4,0%,Yes,≤ 10%,20-30%,10-20%,Yes,20-30%,4,Female,21,TW,N/A,No,2,"Instagram, Snapchat, Facebook, Tiktok",Yes,Yes,Yes,Yes,0%,75%
INTJ-A,Accounting and Finance,,Applied Analytics,,No,2025,Junior,3.1,16,"Yes, from a 2 year college",No,Work,Finance: FinTech,Finance Management,8+,No,No,Yes,No,No,No,3,0%,No,≤ 10%,30-40%,30-40%,Depends,20-30%,4,Male,20,US,94582,Yes,1,"Instagram, X, Tiktok",Yes,No,No,,25%,25%
